Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAP.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,WLN.PA
2000-03-07,,819259.0,,,6098282.0,16058878.0,1491188.0,341986.0,19507684.0,404968.0,906960.0,,758966.0,8698600.0,4726500.0,1881000.0,1680986.0,614039.0,356574.0,,2170085.0,2112440.0,,842860.0,2738258.0,,385974.0,52551.0,652593.0,1333650.0,672821.0,1358208.0,,,1200037.0,933244.0,6549524.0,,,
2000-03-08,,1248200.0,,,10987964.0,6276111.0,1181982.0,680966.0,12454710.0,413137.0,1951530.0,,1643958.0,7804700.0,2384500.0,751000.0,1591143.0,378355.0,437531.0,,772800.0,1256040.0,,1564940.0,1604722.0,,359078.0,79296.0,698932.0,1186425.0,930454.0,2324948.0,,,948110.0,681305.0,12910060.0,,,
2000-03-09,,1554645.0,,,4335656.0,7706125.0,919094.0,658120.0,12272806.0,1172952.0,1166500.0,,725733.0,12789700.0,2583000.0,1420000.0,1892547.0,197103.0,197780.0,,2363795.0,1327318.0,,762550.0,2095189.0,,653491.0,29226.0,813149.0,691425.0,847226.0,1892868.0,,,804485.0,584997.0,7029940.0,,,
2000-03-10,,1317744.0,,,8340853.0,5503662.0,1307200.0,644371.0,8208132.0,489434.0,851600.0,,342877.0,8001400.0,3313500.0,2256000.0,1297310.0,317004.0,316938.0,,2945760.0,1705490.0,,764060.0,1321345.0,,261956.0,122628.0,777178.0,776475.0,1105818.0,1087220.0,,,741840.0,617758.0,4792112.0,,,
2000-03-13,,1558740.0,,,3939780.0,5008410.0,761934.0,387831.0,10108758.0,835187.0,1641340.0,,0.0,7795600.0,0.0,0.0,1157781.0,218393.0,212911.0,,0.0,1603734.0,,0.0,1558931.0,,181654.0,64389.0,268308.0,0.0,963254.0,0.0,,,1421961.0,524720.0,2978080.0,,,
2000-03-14,,1474597.0,,,6560745.0,4570805.0,1379714.0,596313.0,11059496.0,1084820.0,1892250.0,,388333.0,7404400.0,3894000.0,0.0,1210056.0,559623.0,203695.0,,1332160.0,2166700.0,,1287460.0,1869639.0,,183268.0,10602.0,479110.0,858675.0,1360508.0,2570840.0,,,1242302.0,754795.0,4441008.0,,,
2000-03-15,,1047891.0,,,5895809.0,7531813.0,4209284.0,395445.0,10668637.0,779838.0,2337450.0,,391930.0,12302800.0,3199500.0,16838000.0,1238441.0,379799.0,575410.0,,1421165.0,3357457.0,,1134170.0,3627596.0,,278002.0,25719.0,428153.0,1202175.0,1156679.0,1455008.0,,,1638294.0,1698869.0,4752124.0,,,
2000-03-16,,1576207.0,,,12717035.0,6832521.0,2357944.0,625431.0,33758168.0,1071742.0,2404270.0,,4567535.0,12031200.0,5259500.0,4962000.0,2826285.0,333928.0,282968.0,,699600.0,5473408.0,,1511960.0,1788540.0,,422339.0,71094.0,876659.0,1033575.0,1907787.0,2002468.0,,,2169058.0,555437.0,6445748.0,,,
2000-03-17,,730889.0,,,7646770.0,10231117.0,1722668.0,764479.0,33344876.0,1631783.0,2471960.0,,1161075.0,11793300.0,5525500.0,3350000.0,1979788.0,439173.0,335811.0,,1152325.0,2037287.0,,1314620.0,2350942.0,,395686.0,44847.0,1120591.0,1103475.0,4246987.0,3994072.0,,,840589.0,677559.0,5503488.0,,,
2000-03-20,,964816.0,,,3931777.0,3046581.0,793424.0,292351.0,12445410.0,579640.0,1384620.0,,487051.0,9802000.0,2507000.0,3416000.0,1404998.0,94830.0,133760.0,,751515.0,1653730.0,,1233260.0,1157711.0,,219959.0,35628.0,411033.0,662475.0,926142.0,1800552.0,,,554688.0,384004.0,3907632.0,,,
2000-03-21,,774695.0,,,7625185.0,5345077.0,1905414.0,271307.0,18421943.0,553472.0,1820530.0,,310421.0,14868200.0,3300500.0,2021000.0,980984.0,236763.0,232254.0,,845610.0,1310056.0,,803110.0,1438427.0,,229660.0,73944.0,323941.0,846900.0,810161.0,1237052.0,,,590494.0,677763.0,4880464.0,,,
2000-03-22,,952673.0,,,10807093.0,7108473.0,1897746.0,397819.0,37511568.0,235361.0,1900960.0,,509370.0,27753400.0,2706000.0,2725000.0,1031271.0,309562.0,242355.0,,1231170.0,2007307.0,,1040890.0,2066873.0,,231671.0,637467.0,653609.0,1221225.0,843983.0,1702680.0,,,808214.0,713861.0,4279924.0,,,
2000-03-23,,1081298.0,,,4594712.0,4966379.0,1301284.0,377465.0,34746140.0,184432.0,1830740.0,,400719.0,12132600.0,3366500.0,6068000.0,1011456.0,247165.0,246292.0,,956260.0,1980680.0,,1088890.0,2203394.0,,288696.0,143283.0,396026.0,1493100.0,956640.0,1491804.0,,,830359.0,807513.0,5004384.0,,,
2000-03-24,,1330313.0,,,4519070.0,5294494.0,1766030.0,323967.0,29084247.0,409327.0,1762340.0,,436323.0,21578500.0,8908000.0,4565000.0,1675165.0,169829.0,246676.0,,2506280.0,1564311.0,,1146960.0,2120418.0,,431557.0,32559.0,617322.0,961050.0,1444578.0,1752692.0,,,712872.0,478405.0,6034616.0,,,
2000-03-27,,748456.0,,,4133369.0,3465864.0,1401542.0,191364.0,9699466.0,167244.0,857250.0,,848855.0,11008500.0,1589500.0,2293000.0,762045.0,121305.0,126091.0,,379550.0,2055726.0,,374590.0,1295684.0,,409565.0,47226.0,432406.0,954450.0,728880.0,687556.0,,,422376.0,1236538.0,5678044.0,,,
2000-03-28,,1169062.0,,,3964808.0,6581871.0,1753098.0,241406.0,16496650.0,333458.0,1626340.0,,508553.0,6680000.0,1808500.0,1368000.0,629495.0,236876.0,180018.0,,742485.0,1366576.0,,1023930.0,2371580.0,,316718.0,30414.0,576426.0,691725.0,727449.0,1479536.0,,,387726.0,920712.0,7022268.0,,,
2000-03-29,,586441.0,,,2292048.0,4443468.0,2168582.0,260051.0,9950188.0,717719.0,1026540.0,,269217.0,7859400.0,1733000.0,3160000.0,1621991.0,81012.0,345454.0,,571225.0,1865462.0,,612240.0,1265311.0,,315141.0,33627.0,1379240.0,447375.0,673316.0,2807156.0,,,371549.0,329516.0,9035000.0,,,
2000-03-30,,2290026.0,,,4263100.0,9261298.0,2712356.0,599620.0,24091803.0,237206.0,1680370.0,,360863.0,10801300.0,3581500.0,8667000.0,2099009.0,109302.0,337600.0,,613890.0,1549301.0,,929690.0,2525764.0,,1478169.0,49386.0,1106696.0,888300.0,1577457.0,2100388.0,,,1487492.0,672178.0,11222828.0,,,
2000-03-31,,997266.0,,,8183975.0,6062008.0,9469934.0,440712.0,25103109.0,912715.0,2486530.0,,502830.0,6796500.0,3212000.0,3049000.0,2576265.0,247203.0,353537.0,,1054950.0,1781115.0,,1143970.0,3212978.0,,105131.0,33882.0,1775483.0,974100.0,1213019.0,1556272.0,,,934286.0,834893.0,15754376.0,,,
2000-04-03,,1083047.0,,,4313596.0,9633820.0,4865784.0,412369.0,20179266.0,162392.0,2419190.0,,346229.0,14249900.0,1971500.0,1600000.0,3481193.0,190495.0,220273.0,,551460.0,757257.0,,1440170.0,2661734.0,,190804.0,43818.0,1000366.0,1114275.0,975259.0,2137064.0,,,729708.0,334692.0,5391452.0,,,
2000-04-04,,1297080.0,,,7461032.0,17506445.0,3590134.0,456045.0,56933651.0,444233.0,3931110.0,,774254.0,23448700.0,2502000.0,2553000.0,2669676.0,170004.0,292553.0,,863865.0,2151077.0,,1591690.0,2249406.0,,240106.0,107124.0,842518.0,1721250.0,1353723.0,3011956.0,,,1549298.0,506534.0,9985136.0,,,
2000-04-05,,1002615.0,,,10534607.0,9487672.0,4382226.0,983025.0,33172222.0,672628.0,2729070.0,,604941.0,15965800.0,3680500.0,4771000.0,2926590.0,586798.0,387421.0,,1200080.0,1935288.0,,2143420.0,3073456.0,,171719.0,63972.0,842293.0,2397225.0,1004521.0,1548932.0,,,1010826.0,1053594.0,9387616.0,,,
2000-04-06,,607414.0,,,3411816.0,5847929.0,2047210.0,504778.0,15261473.0,1076460.0,3083660.0,,314713.0,12285600.0,2124000.0,3197000.0,1331995.0,195223.0,283078.0,,659470.0,812514.0,,1351230.0,2250402.0,,298738.0,65466.0,384893.0,1179825.0,1177542.0,1439164.0,,,547073.0,29832.0,5838004.0,,,
2000-04-07,,657507.0,,,3009837.0,3441160.0,1909264.0,333076.0,16489167.0,322751.0,2373700.0,,180718.0,10169900.0,1834000.0,1103000.0,683382.0,89339.0,277920.0,,657590.0,836045.0,,764290.0,2918902.0,,140367.0,15693.0,274144.0,1071750.0,792061.0,1162696.0,,,866471.0,0.0,7355280.0,,,
2000-04-10,,1413551.0,,,4298030.0,3868199.0,1591912.0,234755.0,16968094.0,250748.0,1619810.0,,176466.0,5180800.0,1752500.0,1528000.0,1183574.0,95719.0,175528.0,,578585.0,1073982.0,,566650.0,2400968.0,,192729.0,11343.0,349497.0,753150.0,976754.0,760608.0,,,468323.0,711750.0,5905032.0,,,
2000-04-11,,695621.0,,,3270487.0,7451373.0,1459281.0,467538.0,22621387.0,336921.0,1326740.0,,409548.0,8870500.0,1468000.0,4780000.0,1478172.0,80227.0,245973.0,,470270.0,5154158.0,,805860.0,2957456.0,,133972.0,71685.0,242026.0,935175.0,1254486.0,1254916.0,,,565859.0,577369.0,6062608.0,,,
